,stat,pvalue
OTU64:5grass,0.511372596361904,0.0001
OTU175:6grass,0.502073975062552,0.0001
OTU1153:94grass,0.446494263457131,0.0005
OTU3267:16grass,0.4317372567007971,0.0014
OTU524:7grass,0.425459484630584,0.0011
OTU876:89grass,0.42362951746093697,0.0003
OTU1159:26grass,0.41866675587611796,0.0025
OTU3247:106grass,0.416956472341872,0.0012
OTU1246:89grass,0.41592606033546,0.0013
OTU3435:6grass,0.39794260998236897,0.0031
OTU2053:5grass,0.38453703174283704,0.0084
OTU3720:13grass,0.373823348640331,0.0047
OTU3871:13grass,0.37369890663200395,0.0062
OTU1852:89grass,0.37213545002977294,0.0055
OTU2384:7grass,0.37173360012823997,0.0075
OTU3285:5grass,0.368861760277458,0.0087
OTU2023:5grass,0.36791564990920395,0.0156
OTU620:13grass,0.36718821587915995,0.0026
OTU1202:12grass,0.3661965393661761,0.0272
OTU2526:13grass,0.360678772313102,0.0289
OTU1349:5grass,0.357546068757559,0.0084
OTU1265:13grass,0.35576442946673403,0.0303
OTU1028:13grass,0.35359194928305,0.0303
OTU808:5grass,0.353403995989564,0.0303
OTU2294:89grass,0.35132032408669106,0.0065
OTU1914:100grass,0.337833770401863,0.0141
OTU227:6grass,0.3367139336376911,0.0288
OTU1038:91grass,0.33579115664621695,0.0158
OTU2941:5grass,0.3356725433186761,0.0088
OTU625:10grass,0.33437275084329604,0.0303
OTU2154:100grass,0.33432685527897305,0.0164
OTU3768:89grass,0.333356483893026,0.0188
OTU1879:6grass,0.33196319826408005,0.0309
OTU1247:96grass,0.33100479114353104,0.0282
OTU2422:8grass,0.329039540664968,0.0303
OTU1462:16grass,0.328890891200523,0.0185
OTU2107:5grass,0.32283269414765103,0.0452
OTU3282:13grass,0.32241284493847305,0.0332
OTU3169:13grass,0.320195709590009,0.0305
OTU865:5grass,0.320138945298908,0.0279
OTU43:5grass,0.31591605693809804,0.0286
OTU3379:13grass,0.310808808588101,0.0322
OTU1468:13grass,0.308595150358611,0.0366
OTU2940:7grass,0.307428357706232,0.0362
OTU242:53grass,0.30574586413460497,0.0319
OTU3217:5grass,0.298607259021674,0.0408
OTU3872:13grass,0.294091060728257,0.0382
OTU493:6grass,0.289758685258338,0.046
OTU999:6grass,0.288687561151914,0.0413
OTU1097:5grass,0.286646958457437,0.0436
OTU1760:9grass,0.277485186722573,0.0291
OTU286:5grass,0.27619437370578404,0.040999999999999995
